Gene,Fold Change
AW046689,1.7818
Znrf2,-1.7812
Zdhhc8,1.7811
Pkp2,-1.7808
Qpct,1.7802
Snx7,1.7799
Nrg3,-1.7787
Zbed5,-1.7786
Ier5,1.7778
Plcb4,1.7767
5830456J23Rik,-1.7763
Nrip2,-1.776
Clmn,-1.776
Tspan6,-1.7754
Lemd1,1.775
Slc9a5,-1.7738
BB167055,-1.7736
Mex3b,-1.7727
BE956288,1.7726
Pip5k1b,-1.7722
Cdk2ap1,1.7718
Sdc2,1.7714
Hist3h2a,-1.7713
Neurod2,-1.7713
Nos1,1.7713
Btbd9,-1.7696
Rreb1,-1.7695
Rcbtb2,-1.7694
Ahcyl2,-1.7689
Pde4dip,1.7685
Camkk2,1.7667
Ccnd1,1.7664
AU023617,-1.7659
Scnn1a,-1.7651
Rasgrf2,-1.7649
1445029_at,-1.7644
Sema3c,1.764
Peli2,-1.7612
Apaf1,-1.761
Dmd,1.7607
4-Sep,1.7605
Atp5g1,-1.7593
Lonrf3,-1.759
Snca,-1.7556
1431153_at,1.7556
AU042950,-1.7554
A930009L07Rik,-1.7548
Slc4a4,-1.7544
Rogdi,-1.7537
Pex5l,-1.7526
Ddo,-1.7514
Faap20,-1.7512
Gpr83,1.7508
Gch1,-1.7506
1445001_at,-1.7505
Dpy19l3,1.7504
BB283300,1.7502
Pcmt1,1.7448
Aff1,-1.7441
Dhcr24,1.7435
Laptm4b,-1.7429
Cdk2ap1,1.7422
Efcab1,-1.7417
Gstm6,-1.7409
Usp50,-1.7399
Sh3bp5,-1.7387
Nrip3,-1.7386
Nudt13,-1.7385
Ipw,1.7384
Ripor2,-1.7378
Mageh1,-1.7374
1458194_at,1.7371
Ltk,1.737
C230021G24Rik,1.7369
Dlgap4,1.7367
Pik3r3,1.7364
Zdhhc15,-1.7358
Rasd2,1.7358
Tpgs2,-1.7355
Slc30a3,1.735
Cst6,1.7348
AI849504,1.7339
Meg3,1.7321
Thsd7b,-1.7313
Inhbb,1.7312
11-Sep,1.7308
Nwd2,1.7304
Gucy1a1,1.7302
Map2k6,-1.73
Scn3b,-1.7298
Gm10643,-1.729
B3galnt2,1.7288
D16Ertd472e,-1.7287
Dtna,1.7285
Ankrd50,1.7282
Ptprm,1.7282
Irs2,-1.7282
Trim2,-1.7281
Pcdh17,-1.7279
Emp2,1.7279
Ltbp3,1.7276
Arl15,-1.727
Tubb2b,-1.7268
Tpgs2,-1.7266
Inf2,-1.7265
Atmin,1.7254
Syncrip,-1.7254
Kcnf1,-1.7253
Casp3,-1.725
1443468_at,-1.7232
Ube2g2,-1.723
Mast3,1.7222
AV332226,-1.7218
Mum1l1,-1.7216
Parva,1.7206
Kif22,1.7204
Arhgef2,1.7201
Nipsnap3b,-1.72
Ddx4,-1.7185
Ndc1,-1.7175
Sfxn3,1.7172
1444126_at,-1.7171
Tmem132a,-1.7166
Prkd1,-1.7162
BE944943,-1.7153
D230021J17Rik,-1.7149
A330008L17Rik,-1.7139
Prdm5,-1.7136
Hunk,1.7133
Serinc5,-1.7133
Crtac1,1.7124
Slc8a3,1.7123
Flywch1,1.712
Gng4,1.7107
Ar,1.7106
Vsnl1,1.7104
D16Ertd472e,-1.7101
Grm7,1.7098
11-Sep,1.7097
Txlng,-1.7096
Rilpl1,1.7096
Nfatc2,1.7093
Sgsm2,1.7092
Slc16a10,-1.7086
Camk2a,-1.7084
Cdkn1a,1.7084
Klhl2,-1.7075
Dpyd,-1.7073
Marcks,-1.7062
A930004D18Rik,-1.7055
C2cd4b,-1.705
Ppfibp1,-1.7044
Tshz3,1.7043
Ydjc,-1.7037
1440425_at,1.7037
BB398124,-1.7037
Lemd1,1.7035
Sorcs2,-1.7033
Plod2,-1.7025
Sun2,1.7025
Srebf2,1.7012
Flt3,-1.7007
Elmo2,-1.6997
Lonrf3,-1.6993
Gm13446,1.698
Garem1,-1.6974
Pdlim5,-1.6973
Lpl,1.6967
4-Mar,-1.6966
Kcna4,1.6963
Pcsk2,1.6956
Rapgef2,-1.6947
Tm7sf3,-1.6946
Tbc1d30,1.6943
Hecw2,1.6932
Gprc5c,1.6926
Mcc,1.6924
2610002M06Rik,-1.6919
Ism1,-1.6914
Fam212b,1.6914
Grin3a,-1.6912
Marcks,-1.6897
Gdf10,-1.6897
B230208B08Rik,1.688
1700086L19Rik,-1.6878
Gipc2,1.6876
Entpd3,-1.6873
Aff3,1.687
9630019E01Rik,-1.6868
Scai,-1.6862
Pus7l,-1.6859
Il10rb,1.6856
Actn3,1.6855
Rasgrf2,-1.6842
Trpc4,-1.6842
Dpy19l3,1.6841
4833432E10Rik,1.683
Pde4dip,1.6829
Palmd,-1.6821
3110035E14Rik,1.682
Lrrc6,1.6818
Il17rd,-1.6816
BB354954,1.6815
Map1lc3a,1.6814
Smarcd3,-1.6814
Eny2,-1.6812
Scn9a,-1.6809
Epha7,-1.6806
Golga7b,1.6803
Trim2,-1.6799
A230058F20Rik,1.6798
Hace1,-1.6786
BE954335,1.6781
Epha4,1.678
Fxyd6,1.6778
Gatad1,1.6776
Asns,-1.6767
Ank1,1.6764
Tmem97,1.6763
Nrg1,1.6757
Afap1l2,-1.6746
Slc39a11,-1.6744
Pde4dip,1.6741
Kctd13,-1.6739
Khdrbs3,-1.6732
Oprl1,-1.6731
Nat8l,1.6729
Camk2n1,1.6719
Fam183b,-1.6718
Sh3kbp1,-1.6717
Crhr1,1.6713
Tgfb3,1.6712
Wisp1,1.6709
1457189_at,-1.6703
Hes5,-1.67
Fbxo17,1.67
Slc8a1,-1.6698
Nexmif,-1.6692
Acot1,-1.6684
D630023F18Rik,-1.6684
Rnf19a,-1.6679
Sox11,-1.667
Dleu2,1.6668
Cpne4,1.6663
Slitrk2,-1.6663
Hcfc2,-1.666
Tmem158,1.6656
Spaca6,1.6654
Pcdh10,-1.6651
Trim2,-1.665
Porcn,-1.6647
Tspan6,-1.6647
Cdkn1a,1.6646
Frmd6,1.6642
Vezf1,1.6638
Tnfrsf21,-1.6635
Lrrtm3,1.6632
Ccnd1,1.6631
Ctxn2,-1.6618
Adcyap1r1,-1.661
Rgs19,-1.6603
Msh3,-1.6598
Asb1,1.6591
A930009E05Rik,1.6586
Rnf217,1.6585
Dusp15,1.6582
Nos1,1.6576
Usp2,1.6573
Isoc1,-1.6566
Nexmif,-1.6565
Epb41,1.6559
1446048_at,-1.6558
Chl1,-1.6557
Tub,-1.6556
Iqgap2,-1.6556
Sftpc,-1.6555
Kcna5,-1.6545
1446157_at,-1.6545
Mm.439575,-1.6543
Gm9925,1.6539
Nfyb,-1.6535
Ccdc88c,1.653
Rgs19,-1.6528
Tmem38b,-1.6519
Lifr,-1.6509
Dlgap4,1.6505
Zbtb16,-1.6504
Pxylp1,1.6497
Ky,-1.6485
6030442H21Rik,-1.6481
Mfsd9,-1.6479
Ccdc88c,1.6479
Extl2,-1.6477
Psrc1,1.6476
Aifm3,1.6475
Prdm5,-1.6469
Sptb,1.6468
Mm.375362,-1.6467
Pnma1,-1.6461
Ehd3,-1.6457
Kcnv1,1.6453
Kcnk1,1.6446
Cdr2l,1.6443
Tmem159,-1.6441
Il33,-1.6435
Mtfp1,-1.6434
Gatad1,1.6427
D16Ertd472e,-1.6425
Nab2,1.6422
Kcnh3,1.6421
Gm3626,-1.6418
Hist3h2a,-1.6418
Yy2,-1.6407
Thsd7a,-1.64
Rdh12,-1.6397
