Gene,Fold Change
Pcdh18,1.4957
Prag1,1.4953
Slc26a8,-1.4946
Cblb,-1.4942
Raver2,1.4941
Ranbp17,-1.4939
Bach1,1.4937
AW011738,-1.4934
Dpp10,1.4924
Slc16a1,1.492
Ppp2r5c,1.4918
Stard4,1.4915
Tbkbp1,-1.4912
Dok3,1.491
Atp2b4,-1.4907
Itga11,-1.49
Kif21b,1.4892
Sparc,1.4886
Eno3,-1.4882
Tub,-1.488
Igsf9b,1.488
1700020I14Rik,1.4869
Ndufv3,-1.4869
Lrrn1,-1.4865
Galns,-1.4861
Tnip2,-1.4857
Bbs12,-1.4855
Slc9a4,1.4853
Ssbp2,-1.4847
Cfap74,-1.4839
Cd68,1.4832
Inpp5a,1.4824
Ccl27a,-1.4807
Tdg,1.4803
Lag3,1.4801
Filip1,-1.4795
Ostf1,1.4788
Pdzrn4,-1.4785
Flrt1,1.4784
Amy1,-1.4784
Sfrp1,1.4783
Spry4,1.4783
Ephb6,1.4774
Apol8,-1.4767
Kalrn,-1.4759
Scrn2,-1.475
Neurod6,1.4748
Smarcd2,-1.4736
Tgfbr2,1.473
Slc17a8,1.4723
Mt2,1.4722
Uchl1,1.472
Aff2,-1.4718
Il6ra,-1.4714
Cacna2d2,1.4706
Zfp947,-1.47
Htr6,1.4693
Cck,1.4693
Prkar1b,1.4691
Ahr,1.4689
Rab11fip1,1.4686
Spry1,-1.4679
Akap13,1.4679
Cpne8,1.4673
Fndc3a,1.4672
Bid,1.4672
Dscaml1,-1.467
Plcb4,1.4669
Cdc42ep2,1.4664
Snrpb,-1.4664
Gfra4,-1.466
Fstl5,1.4659
Zdhhc2,1.4657
2010204K13Rik,-1.4654
Ppp1r35,1.4653
Erich3,-1.4645
Etl4,1.4643
Tubd1,1.4641
Nhsl2,-1.464
Tctn1,-1.4639
Rian,1.4636
Gap43,1.4634
Elavl4,1.4623
Stac2,1.4623
Map3k21,1.4622
Elavl2,1.4614
Phgdh,-1.461
Clvs2,-1.4606
Metap1d,-1.4606
Cd93,1.4606
Cdh22,1.4604
Cmc2,1.4602
Txnip,-1.46
Mtss1,1.4599
Pcdh20,-1.4595
Galnt7,1.459
Crhr1,1.4584
Ptprj,-1.4584
Crispld1,1.4582
Limd2,-1.4581
Col4a1,1.4581
Snhg1,-1.458
Pcdha1,1.4579
Grb14,-1.4579
Dscam,-1.4578
Mtrr,-1.4573
Irf2bpl,1.457
Pafah1b3,1.457
Diaph1,-1.4567
Cyth1,-1.4565
Rps6ka2,-1.456
Ankrd50,1.456
Pars2,-1.4556
Rttn,-1.4553
H2-DMa,-1.455
C4a,1.4546
Fam131a,-1.4544
Lrfn1,1.4542
Slc4a4,-1.4537
St6galnac4,1.4537
Grin3a,-1.4537
Pcif1,-1.4535
Dpysl5,1.4534
Cgref1,1.4533
Xbp1,1.4516
Phlda1,1.4513
Slc2a12,-1.4507
Vstm2b,-1.4506
Slc6a7,1.4505
Fdx1,1.4503
Fnbp1l,1.4502
Adamtsl2,-1.4501
Rlbp1,-1.4494
Rwdd3,-1.4484
Fam126b,1.4483
Spock1,1.4482
Bbs9,-1.448
Npy1r,-1.448
Prdm8,-1.448
Add2,-1.4477
Ppp1r13l,1.4476
Cadm3,1.4476
Exosc2,-1.4471
Prim1,-1.4467
